Time(s),Position(degrees)
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
0,-238.571428571429
